City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
254,Ossora,RU,2021-12-10 02:04:52,59.2353,163.0719,-2.85,84,3,4.97
255,Portobelo,PA,2021-12-10 02:09:25,9.55,-79.65,78.96,86,24,15.3
256,Bukene,TZ,2021-12-10 02:09:26,-4.2333,32.8833,64.69,92,94,3.78
257,Trairi,BR,2021-12-10 02:06:45,-3.2778,-39.2689,80.89,79,90,11.7
258,Rio Cuarto,AR,2021-12-10 02:09:26,-33.1307,-64.3499,63.68,83,80,4.61
259,Port-Gentil,GA,2021-12-10 02:07:14,-0.7193,8.7815,80.17,82,100,8.63
260,Lata,PT,2021-12-10 02:09:27,40.1629,-8.3327,54.81,97,100,3.78
261,Isoka,ZM,2021-12-10 02:09:27,-10.1606,32.6335,65.75,67,47,2.24
262,Beboto,TD,2021-12-10 02:09:28,8.2668,16.939,70.27,32,11,2.46
263,Kholmogory,RU,2021-12-10 02:09:29,64.2229,41.656,1.51,98,98,3.2
264,Rawson,AR,2021-12-10 02:09:29,-43.3002,-65.1023,58.03,72,4,7.92
265,Santa Isabel Do Rio Negro,BR,2021-12-10 02:09:30,-0.4139,-65.0192,75.33,96,100,2.17
266,Znamenskoye,RU,2021-12-10 02:09:30,57.1281,73.8282,20.7,92,100,6.85
267,Soto La Marina,MX,2021-12-10 02:09:30,23.7667,-98.2167,76.77,85,35,9.15
268,Ust-Kuyga,RU,2021-12-10 02:09:31,70.0167,135.6,-33.9,99,100,6.4
269,Yumen,CN,2021-12-10 02:09:31,40.2833,97.2,25.65,56,100,4.0
270,Khandyga,RU,2021-12-10 02:06:58,62.6667,135.6,-10.75,96,100,3.67
271,Lakes Entrance,AU,2021-12-10 02:09:32,-37.8811,147.981,60.17,63,83,11.12
272,Antofagasta,CL,2021-12-10 02:09:11,-23.65,-70.4,63.68,78,41,2.51
273,Dubovskoye,RU,2021-12-10 02:09:32,47.4092,42.7575,36.86,84,100,5.55
274,Casa Nova,BR,2021-12-10 02:09:33,-9.4167,-41.1333,76.98,66,78,3.87
275,Ejido,VE,2021-12-10 02:09:33,8.5514,-71.2375,68.72,96,99,1.54
276,Verkhnyaya Inta,RU,2021-12-10 02:09:33,65.9811,60.3094,9.75,92,100,2.33
277,Sur,OM,2021-12-10 02:08:11,22.5667,59.5289,69.75,49,0,3.49
278,Tsaratanana,MG,2021-12-10 02:09:34,-16.7833,47.65,70.81,70,100,6.44
279,Steamboat Springs,US,2021-12-10 02:05:11,40.485,-106.8317,38.93,95,90,3.44
